time;WECCPVVSource_photovoltaics_wecc_reec_PInjPu;WECCPVVSource_photovoltaics_wecc_reec_QInjPu;WECCPVVSource_photovoltaics_injector_terminal_V_re;WECCPVVSource_photovoltaics_injector_terminal_i_re;WECCPVVSource_photovoltaics_injector_terminal_V_im;WECCPVVSource_photovoltaics_injector_terminal_i_im;WECCPVVSource_photovoltaics_pll_omegaPLLPu;
4.168133;0.302958;0.388497;0.687864;-0.605916;0.333254;0.341570;0.993257;
4.168200;0.302901;0.388669;0.688023;-0.605803;0.333192;0.341860;0.993260;
4.168200;0.302901;0.388669;0.688023;-0.605802;0.333191;0.341860;0.993261;
4.168201;0.302900;0.388671;0.688025;-0.605801;0.333190;0.341864;0.993260;
4.168202;0.302899;0.388674;0.688028;-0.605799;0.333189;0.341868;0.993260;
4.168204;0.302898;0.388679;0.688032;-0.605795;0.333187;0.341877;0.993261;
4.168208;0.302894;0.388690;0.688042;-0.605789;0.333184;0.341895;0.993261;
4.168216;0.302887;0.388710;0.688061;-0.605775;0.333176;0.341930;0.993261;
4.168232;0.302874;0.388752;0.688100;-0.605748;0.333161;0.342000;0.993262;
4.168264;0.302846;0.388836;0.688177;-0.605693;0.333131;0.342140;0.993263;
4.168328;0.302792;0.389002;0.688331;-0.605583;0.333071;0.342420;0.993266;
4.168392;0.302737;0.389169;0.688485;-0.605474;0.333011;0.342701;0.993269;
4.168520;0.302627;0.389503;0.688793;-0.605255;0.332890;0.343261;0.993275;
4.168648;0.302518;0.389837;0.689101;-0.605036;0.332770;0.343821;0.993280;
4.168904;0.302299;0.390504;0.689716;-0.604598;0.332529;0.344939;0.993292;
4.169416;0.301861;0.391838;0.690943;-0.603721;0.332047;0.347170;0.993316;
4.169830;0.301507;0.392917;0.691933;-0.603013;0.331657;0.348970;0.993336;
4.170244;0.301153;0.393996;0.692920;-0.602306;0.331268;0.350764;0.993358;
4.170658;0.300800;0.395074;0.693904;-0.601600;0.330880;0.352554;0.993382;
4.171073;0.300448;0.396152;0.694885;-0.600896;0.330493;0.354337;0.993407;
4.171487;0.300097;0.397229;0.695863;-0.600194;0.330107;0.356114;0.993435;
4.171901;0.299748;0.398307;0.696836;-0.599496;0.329723;0.357884;0.993466;
4.172316;0.299401;0.399383;0.697806;-0.598802;0.329341;0.359647;0.993499;
4.172730;0.299056;0.400460;0.698772;-0.598113;0.328962;0.361403;0.993536;
4.173144;0.298714;0.401536;0.699733;-0.597429;0.328586;0.363151;0.993576;
4.173559;0.298375;0.402612;0.700690;-0.596751;0.328213;0.364891;0.993619;
4.173973;0.298040;0.403687;0.701643;-0.596080;0.327844;0.366623;0.993666;
4.174387;0.297708;0.404762;0.702590;-0.595416;0.327479;0.368345;0.993716;
4.174802;0.297381;0.405837;0.703532;-0.594761;0.327119;0.370058;0.993770;
4.175216;0.297058;0.406911;0.704469;-0.594116;0.326764;0.371761;0.993828;
